Season,#,Title,Directed,Written,Airdate,Description
9,9,"""The Gang Makes Lethal Weapon 6""",Dan Attias,Scott Marder,2013/10/30,"After creative differences over what constitutes tasteful nudity cause Frank to pull his money out of Lethal Weapon 6 during filming, Mac, Dennis, and Charlie screen their rough footage for investors in hopes of raising enough capital to finish the production of their latest masterpiece."
9,10,"""The Gang Squashes Their Beefs""",Todd Biermann,Rob Rosell,2013/11/06,"When some bad blood with old foes compromises their ideal Thanksgiving, the gang decides to make amends by breaking bread with those they've hurt."
10,1,"""The Gang Beats Boggs""",Todd Bierman,Dave Chernin & John Chernin,2015/01/14,The Gang attempts to beat one of the most storied achievements in sports history: they are trying to beat Wade Boggs' record of drinking more than 70 beers in a single cross-country flight.
10,2,"""The Gang Group Dates""",Richie Keen,Rob Rosell,2015/01/21,"The gang turns Paddy's into an internet dating hub where people group date and rate each other. Dennis becomes obsessed with his ever decreasing ratings, while Dee hands out zero star ratings after being ""dumped"" early."
10,3,"""Psycho Pete Returns""",Todd Biermann,"Charlie Day, Glenn Howerton & Rob McElhenney",2015/01/28,"Mac and Charlie's high school ""gang leader"" (leader of ""the Freight Train"") Psycho Pete stops in at Paddy's. Charlie and Mac are quickly disappointed by Pete's docile nature, and look for ways to get Pete back to his old 'Psycho' self. Frank, Dee, and Dennis set out to find help for Pete because they're afraid he's dangerous to them."
10,4,"""Charlie Work""",Matt Shakman,"Rob McElhenney, Charlie Day & Glenn Howerton",2015/02/04,"Charlie gets tipped off that the health inspector is coming to inspect Paddy's. Dennis, Dee, Frank, and Mac are involved in a scheme involving steaks, airline miles, and chickens, which has the bar in disarray, including live chickens everywhere. Charlie tries to get the bar in shape for inspection with little help from the rest of the gang."
10,5,"""The Gang Spies Like U.S.""",Matt Shakman,David Hornsby,2015/02/11,"After Dennis and Mac enlist Dee to spy on the fish factory across the street, Charlie and Frank grow suspicious and decide to do some spying of their own."
10,6,"""The Gang Misses the Boat""",Richie Keen,"Charlie Day, Glenn Howerton and Rob McElhenney",2015/02/18,"After another failed venture, the Gang wonders if their group dynamic is bringing them down as individuals, causing them to separate from one another, and find out who they really are."
10,7,"""Mac Kills His Dad""",Heath Cullens,"Dave Chernin, John Chernin and David Hornsby",2015/02/25,"News surfaces about Mac's Dad, Luther, being a murder suspect. Mac goes into full ""P.I."" mode to clear his father of any wrong doing."
10,8,"""The Gang Goes on Family Fight""",Matt Shakman,Charlie Day & Glenn Howerton & Rob McElhenney,2015/03/04,"When the gang appears on a nationally broadcasted game show, Dennis does his best to keep the gang's weirdness under wraps."
10,9,"""Frank Retires""",Richie Keen,"Charlie Day, Glenn Howerton and Rob McElhenney",2015/03/11,"When Frank decides to leave up the financial decisions of the bar to the gang, the decline of the bar's wellbeing as well as Frank's health begins and the toll is too much for any of them to take."
10,10,"""Ass Kickers United: Mac and Charlie Join a Cult""",Heath Cullens,Scott Marder,2015/03/18,"""Asskickers"" isn't just a hot new way to work out; it's a way of life...and maybe a cult."
11,1,"""Chardee MacDennis 2: Electric Boogaloo""",Heath Cullens,Rob McElhenney and Charlie Day,2016/01/06,"The gang agree to a truce and demonstrate Chardee MacDennis for an interested board game executive, but things quickly go off the rails."
11,2,"""Frank Falls Out the Window""",Heath Cullens,David Hornsby,2016/01/13,"Frank falls out of a window and his injury makes him think it's 2006, so the gang use it as a chance to correct past mistakes."
11,3,"""The Gang Hits the Slopes""",Heath Cullens,Dave Chernin & John Chernin,2016/01/20,Dennis and Frank battle Dee and Mac for control of the mountain and Charlie learns the rules of the slopes.
11,4,"""Dee Made a Smut Film""",Todd Biermann,Eric Ledgin,2016/01/27,Dennis and Dee film an adaptation of Dennis' erotic memoirs while Frank and Mac try to pass off Charlie as a gifted artist for financial gain.
11,5,"""Mac & Dennis Move to the Suburbs""",Todd Biermann,Hunter Covington,2016/02/03,Mac and Dennis move to the suburbs for the cheap rent and open spaces but learn they may be meant for city life.
11,6,"""Being Frank""",Heath Cullens,Scott Marder,2016/02/10,A day in the life of Frank Reynolds as he tries to keep up with the gang's newest scheme.
11,7,"""McPoyle vs. Ponderosa: The Trial of the Century""",Todd Biermann,Conor Galvin,2016/02/17,Old grievances bubble to the surface when The Lawyer agrees to sue Bill Ponderosa on behalf of the Liam McPoyle and his lost eye.
11,8,"""Charlie Catches a Leprechaun""",Heath Cullens,Jon Silberman & Josh Silberman,2016/02/24,"Dennis tries to create an innovative mobile Paddy's pub experience but runs into trouble when customers refuse to cooperate, while Charlie and Mac attempt to catch a thieving leprechaun."
11,9,"""The Gang Goes to Hell""",Todd Biermann,David Hornsby & Scott Marder,2016/03/02,"The gang tries to take a vacation from their usual dynamic by going on a cruise, but old habits die hard."
11,10,"""The Gang Goes to Hell: Part Two""",Todd Biermann,David Hornsby & Scott Marder,2016/03/09,"With disaster looming, the gang tries unsuccessfully to make amends with one another."
12,1,"""The Gang Turns Black""",Matt Shakman,"Rob McElhenney, Charlie Day & Glenn Howerton",2017/01/04,"After an electric heating blanket shorts out while the gang watches ""The Wiz,"" they look in the mirror and realize they've turned black; to get back to being themselves they go through all manner of classic body-switch movie shenanigans."
12,2,"""The Gang Goes to a Water Park""",Matt Shakman,Eric Ledgin,2017/01/11,"The group heads to the water park, each with an ulterior motive; Dennis takes on a protege; Frank and Charlie are determined to ride every ride; Mac and Dee get stuck in a tube slide."
12,3,"""Old Lady House: A Situation Comedy""",Maurice Marable,Dannah Phirman & Danielle Schneider,2017/01/18,Charlie thinks Mac's mom is holding his mom hostage so the gang installs spy cameras in their house to monitor what's going on. What they end up discovering is the moms are quite entertaining once Dennis makes some quick edits and adds a laugh track to the surveillance footage. Dee wants in on the new hit show and Frank becomes obsessed with banging Charlie's mom now that he's seen her on TV.
12,4,"""Wolf Cola: A Public Relations Nightmare""",Matt Shakman,David Hornsby & Scott Marder,2017/01/25,Franks Fluids LLC is in big trouble after a news segment shows Wolf Cola has become the official drink of Boko Haram. Dee and Dennis help with the PR nightmare while Charlie and Mac work on a scheme to make Fight Milk the official drink of the UFC.
12,5,"""Making Dennis Reynolds a Murderer""",Maurice Marable,Conor Galvin,2017/02/01,An episode filmed in the true crime style of Making a Murderer and The Jinx which begins with a 911 call: A cat-woman formerly known as Maureen Ponderosa has been found dead in an alley and Dennis is the prime suspect.
12,6,"""Hero or Hate Crime?""",Jamie Babbit,"Rob McElhenney, Charlie Day & Glenn Howerton",2017/02/08,The gang goes to a professional arbitrator to decide who's the rightful owner of a scratch off lottery ticket. While they're there they also try to clear up whether or not the events surrounding the scratcher prove that Frank is a hero or hate monger.
12,7,"""PTSDee""",Jamie Babbit,"Rob McElhenney, Charlie Day & Glenn Howerton",2017/02/15,"After finding out that she is a male stripper's ""rock bottom,"" Dee sets out to prove that she is the best thing that ever happened to him; Dennis takes over for a stripper; Mac and Frank play a war game."
12,8,"""The Gang Tends Bar""",Matt Shakman,Megan Ganz,2017/02/22,"Paddy's is packed with customers on Valentine's Day; Dennis implores the gang to do one day of actual work, but everyone is distracted by a mystery crate Cricket spotted in the alley."
12,9,"""A Cricket's Tale""",Jamie Babbit,David Hornsby & Scott Marder,2017/03/01,"We get to see a typical day in Cricket's world and then a possible redemption when his family intervenes. Will Cricket finally move on from the gang, finding love in the process? Will Cricket go from filthy beast to his former self, Matthew Mara?"
12,10,"""Dennis' Double Life""",Matt Shakman,"Rob McElhenney, Charlie Day & Glenn Howerton",2017/03/08,"Dennis reveals he has a baby from his Wade Boggs layover in North Dakota. Everyone offers a solution for how to get him out of this jam. Mac suggests they pretend to be a couple and Frank wants to make the broad a ""decent"" proposal b/c $1 million for sex is indecent. In the end, Dennis has to decide which life he wants to continue to lead."
13,1,"""The Gang Makes Paddy's Great Again""",Todd Biermann,David Hornsby,2018/09/05,"Cindy, the new female member of the gang, successfully pulls off scams; everything works until Mac introduces a lifelike sex doll that looks exactly like Dennis."
13,2,"""The Gang Escapes""",Lauren Palmigiano,Megan Ganz,2018/09/12,"To boost productivity, Dee hires an at-home ""Escape Room Experience"" service to come to Dennis and Mac's apartment. Will they escape? Who will get the credit? What could go wrong?"
13,3,"""The Gang Beats Boggs: Ladies Reboot""",Kat Coiro,Dannah Phirman & Danielle Schneider,2018/09/19,"To one-up the guys, Dee has organized an ""all-female reboot"" of the Wade Boggs challenge on a first-of-it's-kind, all-female flight headed to L.A. for the women's march."
13,4,"""Time's Up for the Gang""",Kat Coiro,Megan Ganz,2018/09/26,"Paddy's has been put on a list of bars that are sexually hostile to women, and the gang must attend a sexual harassment seminar to get off the list."
13,5,"""The Gang Gets New Wheels""",Todd Biermann,Conor Galvin,2018/10/03,"Dee gets in with a group of cool, rich housewives. Dennis hits it off with some everyday blue-collar bros. Frank struggles to renew his license, and Charlie and Mac deal with a new generation of bicycle bullies."
13,6,"""The Gang Solves the Bathroom Problem""",Josh Drisko,Erin Ryan,2018/10/10,"Jimmy Buffett is in town and the positive vibes are alive at the bar. But when Mac comes out of the women's bathroom, no one can leave until the bathroom situation is solved."
13,7,"""The Gang Does a Clip Show""",Todd Biermann,Dannah Phirman & Danielle Schneider,2018/10/17,"With nothing to do while their phones update to the latest software, the gang decides to reminisce on old times. As everyone misremembers events from their past, the gang's current reality becomes altered."
13,8,"""Charlie's Home Alone""",Kat Coiro,Adam Weinstock & Andy Jones,2018/10/24,"It's the weekend of Super Bowl LII, this time from Charlie's perspective. While Charlie searches the back office, Cricket steals the suit leaving Charlie home alone to defend himself."
13,9,"""The Gang Wins the Big Game""",Kat Coiro,Conor Galvin,2018/10/31,It's the most important weekend of their lives and Frank has treated the gang and a crew of their ragtag hangers-on with tickets to see the Eagles in the Super Bowl!
13,10,"""Mac Finds His Pride""",Todd Biermann,Rob McElhenney & Charlie Day,2018/11/07,Frank tries to recruit Mac for the gang's float for the Gay Pride Parade; Frank comes to the realization that Mac will never be secure with his sexual identity unless he comes out to his father.
